Curs,Tipus d'estudi,Tipus d'universitat,Universitat,Tipus de centre,Nacionalitat,Sexe,Comarca del centre,Nou accés,Matrícula,Matrícula ETC,Titulats
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESTRANGERA,DONA,Barcelonès,11,44,38.6,5
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESTRANGERA,DONA,Vallès Occidental,61,224,220.2,42
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESTRANGERA,HOME,Bages,0,36,31.6,28
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESTRANGERA,HOME,Barcelonès,5,28,24.0,*
2017,grau,PÚBLICA,UAB,Adscrit,NACIONALITAT ESTRANGERA,HOME,Vallès Occidental,37,115,116.9,16
2017,grau,PÚBLICA,UAB,Integrat,NACIONALITAT ESPANYOLA,DONA,Vallès Occidental,3595,14596,13680.9,2759
2017,grau,PÚBLICA,UAB,Integrat,NACIONALITAT ESPANYOLA,HOME,Vallès Occidental,2417,10013,9194.2,1708
2017,grau,PÚBLICA,UAB,Integrat,NACIONALITAT ESTRANGERA,DONA,Vallès Occidental,200,781,747.8,129
2017,grau,PÚBLICA,UAB,Integrat,NACIONALITAT ESTRANGERA,HOME,Vallès Occidental,117,424,393.5,66
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESPANYOLA,DONA,Barcelonès,463,1788,1720.2,352
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESPANYOLA,DONA,Vallès Occidental,54,196,186.3,45
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESPANYOLA,DONA,Vallès Oriental,17,62,60.6,9
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESPANYOLA,HOME,Barcelonès,390,1554,1450.0,235
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESPANYOLA,HOME,Vallès Occidental,71,279,266.1,66
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESPANYOLA,HOME,Vallès Oriental,58,205,197.8,27
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESTRANGERA,DONA,Barcelonès,45,93,89.5,11
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESTRANGERA,DONA,Vallès Occidental,5,12,12.1,*
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESTRANGERA,DONA,Vallès Oriental,0,*,1.0,0
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESTRANGERA,HOME,Barcelonès,30,64,60.5,*
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESTRANGERA,HOME,Vallès Occidental,*,14,14.3,*
2017,grau,PÚBLICA,UB,Adscrit,NACIONALITAT ESTRANGERA,HOME,Vallès Oriental,0,*,3.0,0
2017,grau,PÚBLICA,UB,Integrat,NACIONALITAT ESPANYOLA,DONA,Barcelonès,5657,23688,21244.0,4187
2017,grau,PÚBLICA,UB,Integrat,NACIONALITAT ESPANYOLA,HOME,Barcelonès,3269,14407,12568.3,2367
2017,grau,PÚBLICA,UB,Integrat,NACIONALITAT ESTRANGERA,DONA,Barcelonès,387,1553,1412.0,202
2017,grau,PÚBLICA,UB,Integrat,NACIONALITAT ESTRANGERA,HOME,Barcelonès,187,742,663.5,106
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESPANYOLA,DONA,Barcelonès,221,961,895.3,219
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESPANYOLA,DONA,Gironès,108,391,346.9,60
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESPANYOLA,DONA,Maresme,6,42,39.6,8
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESPANYOLA,HOME,Barcelonès,73,454,414.8,83
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESPANYOLA,HOME,Gironès,135,589,528.2,74
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESPANYOLA,HOME,Maresme,*,30,30.0,*
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESTRANGERA,DONA,Barcelonès,31,105,94.2,34
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESTRANGERA,DONA,Gironès,124,418,420.0,93
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESTRANGERA,DONA,Maresme,6,8,6.6,0
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESTRANGERA,HOME,Barcelonès,12,41,34.3,9
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESTRANGERA,HOME,Gironès,106,378,385.2,58
2017,grau,PÚBLICA,UdG,Adscrit,NACIONALITAT ESTRANGERA,HOME,Maresme,0,*,2.3,*
2017,grau,PÚBLICA,UdG,Integrat,NACIONALITAT ESPANYOLA,DONA,Gironès,1354,5506,5094.0,1059
2017,grau,PÚBLICA,UdG,Integrat,NACIONALITAT ESPANYOLA,HOME,Gironès,989,4090,3583.5,640
2017,grau,PÚBLICA,UdG,Integrat,NACIONALITAT ESTRANGERA,DONA,Gironès,102,334,298.4,43
2017,grau,PÚBLICA,UdG,Integrat,NACIONALITAT ESTRANGERA,HOME,Gironès,53,191,168.9,30
2017,grau,PÚBLICA,UdL,Adscrit,NACIONALITAT ESPANYOLA,DONA,Barcelonès,18,32,29.1,0
2017,grau,PÚBLICA,UdL,Adscrit,NACIONALITAT ESPANYOLA,DONA,Segrià,36,123,108.9,11
2017,grau,PÚBLICA,UdL,Adscrit,NACIONALITAT ESPANYOLA,HOME,Barcelonès,*,16,15.0,0
2017,grau,PÚBLICA,UdL,Adscrit,NACIONALITAT ESPANYOLA,HOME,Segrià,80,403,340.9,68
2017,grau,PÚBLICA,UdL,Adscrit,NACIONALITAT ESTRANGERA,DONA,Barcelonès,9,20,18.9,0
